question_id	question_rank	document_title	paragraph_index
1	1	Rajasthan	9
1	2	Near_East	57
1	3	Bill_%26_Melinda_Gates_Foundation	6
1	4	United_Nations_Population_Fund	4
1	5	Alsace	18
4	1	BeiDou_Navigation_Satellite_System	18
4	2	BeiDou_Navigation_Satellite_System	7
4	3	BeiDou_Navigation_Satellite_System	12
4	4	BeiDou_Navigation_Satellite_System	14
4	5	BeiDou_Navigation_Satellite_System	2
7	1	Beyoncé	7
7	2	Beyoncé	50
7	3	Beyoncé	16
7	4	Beyoncé	38
7	5	Beyoncé	43
10	1	Roman_Republic	26
10	2	Roman_Republic	45
10	3	Roman_Republic	28
10	4	Roman_Republic	47
10	5	Roman_Republic	27
13	1	Mali	10
13	2	Sahara	5
13	3	Chihuahua_(state)	62
13	4	Sahara	1
13	5	Chihuahua_(state)	48
16	1	Atlantic_City,_New_Jersey	24
16	2	Oklahoma_City	11
16	3	Richmond,_Virginia	14
16	4	Oklahoma	2
16	5	Charleston,_South_Carolina	2
19	1	Xbox_360	14
19	2	Xbox_360	10
19	3	Xbox_360	5
19	4	Xbox_360	8
19	5	Xbox_360	1
22	1	Neptune	28
22	2	Neptune	13
22	3	Neptune	4
22	4	Neptune	10
22	5	Neptune	32
25	1	Nigeria	29
25	2	Asphalt	9
25	3	Asphalt	3
25	4	Asphalt	32
25	5	Royal_Dutch_Shell	8
28	1	New_Delhi	50
28	2	New_Delhi	49
28	3	New_Delhi	46
28	4	New_Delhi	30
28	5	New_Delhi	20
31	1	Dominican_Order	35
31	2	The_Blitz	4
31	3	High-definition_television	11
31	4	Windows_8	6
31	5	Financial_crisis_of_2007%E2%80%9308	57
34	1	New_York_City	147
34	2	New_York_City	0
34	3	New_York_City	55
34	4	New_York_City	140
34	5	New_York_City	79
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	43
37	3	Federal_Bureau_of_Investigation	5
37	4	Federal_Bureau_of_Investigation	15
37	5	Federal_Bureau_of_Investigation	42
40	1	Chihuahua_(state)	31
40	2	Chihuahua_(state)	44
40	3	Chihuahua_(state)	5
40	4	Chihuahua_(state)	27
40	5	Chihuahua_(state)	42
43	1	Middle_Ages	4
43	2	Late_Middle_Ages	3
43	3	Late_Middle_Ages	4
43	4	Middle_Ages	6
43	5	University	24
46	1	Richard_Feynman	1
46	2	Richard_Feynman	16
46	3	Richard_Feynman	31
46	4	Richard_Feynman	30
46	5	Richard_Feynman	19
49	1	Pub	51
49	2	Pub	24
49	3	Pub	56
49	4	Pub	36
49	5	Pub	86
52	1	BeiDou_Navigation_Satellite_System	7
52	2	BeiDou_Navigation_Satellite_System	12
52	3	BeiDou_Navigation_Satellite_System	18
52	4	BeiDou_Navigation_Satellite_System	2
52	5	BeiDou_Navigation_Satellite_System	1
55	1	IPod	28
55	2	Universal_Studios	30
55	3	Universal_Studios	29
55	4	Universal_Studios	0
55	5	Universal_Studios	37
58	1	Renewable_energy_commercialization	23
58	2	Tajikistan	6
58	3	God	23
58	4	God	22
58	5	Windows_8	17
61	1	Gramophone_record	28
61	2	Gramophone_record	19
61	3	Gramophone_record	29
61	4	Gramophone_record	23
61	5	Gramophone_record	25
64	1	Russian_Soviet_Federative_Socialist_Republic	20
64	2	Russian_Soviet_Federative_Socialist_Republic	25
64	3	Tajikistan	13
64	4	Russian_Soviet_Federative_Socialist_Republic	16
64	5	Russian_Soviet_Federative_Socialist_Republic	18
67	1	Tuvalu	13
67	2	Tuvalu	55
67	3	Tuvalu	46
67	4	Tuvalu	44
67	5	Tuvalu	8
70	1	History_of_science	62
70	2	History_of_science	0
70	3	Modern_history	17
70	4	Orthodox_Judaism	2
70	5	Web_browser	21
73	1	The_Blitz	4
73	2	The_Blitz	15
73	3	The_Blitz	7
73	4	The_Blitz	14
73	5	The_Blitz	85
76	1	Miami	41
76	2	London	48
76	3	USB	16
76	4	USB	3
76	5	Railway_electrification_system	10
79	1	Child_labour	32
79	2	Nonprofit_organization	6
79	3	Child_labour	5
79	4	Child_labour	55
79	5	Child_labour	10
82	1	Canadian_Armed_Forces	41
82	2	Computer_security	17
82	3	Computer_security	19
82	4	Computer_security	12
82	5	Kathmandu	23
85	1	Old_English	6
85	2	Dutch_language	8
85	3	Dutch_language	9
85	4	Dutch_language	16
85	5	Catalan_language	74
88	1	Spanish_language_in_the_United_States	11
88	2	Spanish_language_in_the_United_States	12
88	3	New_York_City	18
88	4	Spanish_language_in_the_United_States	8
88	5	Spanish_language_in_the_United_States	9
91	1	Great_power	19
91	2	Capital_punishment_in_the_United_States	23
91	3	Southern_Europe	16
91	4	Cyprus	42
91	5	Greece	31
94	1	Southern_Europe	21
94	2	Greece	58
94	3	Switzerland	58
94	4	Oklahoma	37
94	5	Serbo-Croatian	21
97	1	Infection	2
97	2	Infection	6
97	3	Infection	1
97	4	Diarrhea	14
97	5	Infection	8
100	1	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	2	Qing_dynasty	0
100	3	Sino-Tibetan_relations_during_the_Ming_dynasty	4
100	4	Qing_dynasty	61
100	5	Sino-Tibetan_relations_during_the_Ming_dynasty	57
103	1	Military_history_of_the_United_States	39
103	2	Military_history_of_the_United_States	17
103	3	United_States_Army	1
103	4	John_Kerry	0
103	5	John_Kerry	6
106	1	Mesozoic	2
106	2	Mesozoic	5
106	3	Mammal	11
106	4	Light-emitting_diode	28
106	5	Light-emitting_diode	22
109	1	Sino-Tibetan_relations_during_the_Ming_dynasty	15
109	2	Sino-Tibetan_relations_during_the_Ming_dynasty	35
109	3	Sino-Tibetan_relations_during_the_Ming_dynasty	0
109	4	Sino-Tibetan_relations_during_the_Ming_dynasty	48
109	5	Sino-Tibetan_relations_during_the_Ming_dynasty	22
112	1	Queen_Victoria	28
112	2	Queen_Victoria	15
112	3	Southampton	89
112	4	Queen_Victoria	14
112	5	Queen_Victoria	36
115	1	Geological_history_of_Earth	21
115	2	Geological_history_of_Earth	22
115	3	Geological_history_of_Earth	19
115	4	Dog	41
115	5	Geological_history_of_Earth	12
118	1	Nigeria	10
118	2	Nigeria	0
118	3	Nigeria	31
118	4	Nigeria	46
118	5	Nigeria	17
121	1	Zinc	2
121	2	Zinc	31
121	3	Zinc	21
121	4	Zinc	36
121	5	Zinc	33
124	1	Hunting	14
124	2	Hunting	10
124	3	Hunting	9
124	4	Hunting	29
124	5	Montana	15
127	1	Capacitor	7
127	2	Capacitor	11
127	3	Capacitor	29
127	4	Capacitor	18
127	5	Capacitor	36
130	1	Bird_migration	27
130	2	Bird_migration	51
130	3	Bird_migration	52
130	4	Bird	19
130	5	Bird	60
133	1	Richmond,_Virginia	34
133	2	Military_history_of_the_United_States	27
133	3	Richmond,_Virginia	11
133	4	Richmond,_Virginia	1
133	5	Richmond,_Virginia	40
136	1	Hunter-gatherer	26
136	2	Hunter-gatherer	23
136	3	Hunter-gatherer	15
136	4	Hunter-gatherer	13
136	5	Hunter-gatherer	27
139	1	Athanasius_of_Alexandria	0
139	2	Athanasius_of_Alexandria	18
139	3	Athanasius_of_Alexandria	13
139	4	Athanasius_of_Alexandria	10
139	5	Athanasius_of_Alexandria	6
142	1	MP3	60
142	2	MP3	59
142	3	MP3	46
142	4	MP3	61
142	5	Adult_contemporary_music	33
145	1	Kathmandu	50
145	2	Kathmandu	16
145	3	Buddhism	114
145	4	Kathmandu	7
145	5	Tibet	30
148	1	Somerset	6
148	2	Somerset	23
148	3	Somerset	24
148	4	The_Times	1
148	5	The_Times	2
151	1	American_Idol	58
151	2	Queen_(band)	56
151	3	American_Idol	62
151	4	Queen_(band)	42
151	5	Queen_(band)	38
154	1	Database	9
154	2	Emotion	41
154	3	University	10
154	4	PlayStation_3	6
154	5	Communication	7
157	1	Textual_criticism	24
157	2	Quran	23
157	3	Textual_criticism	17
157	4	Textual_criticism	14
157	5	Quran	39
160	1	Bras%C3%ADlia	21
160	2	Bird	20
